Artist ID,Artist Name,Genres
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"['conscious hip hop', 'nc hip hop', 'pop rap', 'rap']"
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,[]
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
0YinUQ50QDB7ZxSCLyQ40k,Mustard,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,"['rap', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,[]
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
2wY79sveU1sp5g7SokKOiI,Sam Smith,"['pop', 'post-teen pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
4kYSro6naA4h99UJvo89HB,Cardi B,"['pop', 'rap']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
5JZ7CnR6gTvEMKX4g70Amv,Lauv,"['dance pop', 'pop', 'post-teen pop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'egyptian pop', 'progressive electro house']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
1MIVXf74SZHmTIp4V4paH4,Mabel,"['dance pop', 'house', 'pop', 'post-teen pop', 'r&b', 'tropical house', 'uk pop']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
5CiGnKThu5ctn9pBxv7DGa,benny blanco,"['dance pop', 'electropop', 'pop']"
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,['contemporary country']
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"['reggaeton', 'trap latino']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
2R21vXR83lH98kGeO99Y66,Anuel Aa,"['reggaeton flow', 'trap latino']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
5qa31A9HySw3T7MKWI9bGg,FLETCHER,"['electropop', 'indie cafe pop', 'indie poptimism', 'pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'egyptian pop', 'progressive electro house']"
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"['canadian hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']"
6AgTAQt8XS6jRWi4sX7w49,Polo G,"['chicago rap', 'vapor trap']"
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop']"
7meyrw7Or5DwteYxDJrkCM,YK Osiris,"['deep pop r&b', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,['vapor trap']
3Fl1V19tmjt57oBdxXKAjJ,Blueface,"['cali rap', 'trap music']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
1KCSPY1glIKqW2TotWuXOR,P!nk,"['dance pop', 'pop', 'post-teen pop']"
246dkjvS1zLTtiykXe5h60,Post Malone,"['pop', 'rap']"
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"['emo rap', 'lgbtq+ hip hop']"
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,"['british indie rock', 'modern rock']"
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['philly rap', 'rap', 'trap music']"
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
1r4hJ1h58CWwUQe3MxPuau,Maluma,['reggaeton']
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"['emo rap', 'miami hip hop']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
4r63FhuTkUYltbVAg5TQnk,DaBaby,"['nc hip hop', 'rap', 'southern hip hop', 'trap music', 'vapor trap']"
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,"['dance pop', 'pop']"
17lzZA2AlOHwCwFALHttmp,2 Chainz,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
6Dd3NScHWwnW6obMFbl1BH,Daya,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,"['dance pop', 'pop', 'post-teen pop']"
3Fl1V19tmjt57oBdxXKAjJ,Blueface,"['cali rap', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
5WUlDfRSoLAfcVSX1WnrxN,Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']"
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
7rkW85dBwwrJtlHRDkJDAC,NAV,"['canadian hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
2qxJFvFYMEDqd7ui6kSAcq,Zedd,"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'post-teen pop', 'tropical house']"
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,['tropical house']
21WS9wngs9AqFckK7yYJPM,PnB Rock,"['hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
4r63FhuTkUYltbVAg5TQnk,DaBaby,"['nc hip hop', 'rap', 'southern hip hop', 'trap music', 'vapor trap']"
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,['contemporary country']
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']"
0haZhu4fFKt0Ag94kZDiz2,Sofia Reyes,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
5LHRHt1k9lMyONurDHEdrp,Tyga,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
0huGjMyP507tBCARyzSkrv,YBN Cordae,"['dmv rap', 'rap', 'trap music', 'underground hip hop', 'vapor trap']"
0KPX4Ucy9dk82uj4GpKesn,Dalex,['reggaeton flow']
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']"
02kJSzxNuaWGqwubyUba0Z,G-Eazy,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['philly rap', 'rap', 'trap music']"
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']"
5INjqkS1o8h1imAzPqGZBb,Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'psychedelic rock']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']"
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,"['colombian pop', 'latin', 'reggaeton']"
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,['israeli pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,"['miami hip hop', 'rap', 'trap music']"
23fqKkggKUBHNkbKtXEls4,Kygo,"['edm', 'pop', 'tropical house']"
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,[]
2FXC3k01G6Gw61bmprjgqS,Hozier,"['folk-pop', 'irish singer-songwriter', 'pop']"
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house']"
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,['k-pop']
6s22t5Y3prQHyaHWUN1R1C,AJR,"['modern rock', 'pop']"
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,"['contemporary country', 'country road']"
26VFTg2z8YR0cCuwLzESi2,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']"
246dkjvS1zLTtiykXe5h60,Post Malone,"['pop', 'rap']"
7DuTB6wdzqFJGFLSH17k8e,Bhad Bhabie,"['pop', 'trap queen']"
17lzZA2AlOHwCwFALHttmp,2 Chainz,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,"['contemporary country', 'country road']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
3wyVrVrFCkukjdVIdirGVY,Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'trap music']"
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,['vapor trap']
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
02kJSzxNuaWGqwubyUba0Z,G-Eazy,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
64aJYyrXljOodnUG6jvhRD,DJ Luian,"['latin', 'reggaeton flow']"
7rkW85dBwwrJtlHRDkJDAC,NAV,"['canadian hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
3wyVrVrFCkukjdVIdirGVY,Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'trap music']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
0hEurMDQu99nJRq8pTxO14,John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
6S0IvKlvPMX1RtAYtVpUV8,Drax Project,['nz pop']
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'r&b', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
1iJdyDcY98X3GMnUesl7tf,Comethazine,"['trap music', 'underground hip hop', 'vapor trap']"
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,['r&b en espanol']
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['dance pop', 'pop']"
56oDRnqbIiwx4mymNEv7dS,Lizzo,"['dance pop', 'electropop', 'escape room', 'minnesota hip hop', 'pop', 'r&b', 'trap queen']"
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,"['destroy techno', 'electro house']"
17lzZA2AlOHwCwFALHttmp,2 Chainz,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4sTQVOfp9vEMCemLw50sbu,Galantis,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']"
1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,"['dance pop', 'pop', 'post-teen pop', 'teen pop']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
53KwLdlmrlCelAZMaLVZqU,James Blake,"['indie r&b', 'indietronica', 'uk alternative pop']"
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,['colombian pop']
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']"
4EzkuveR9pLvDVFNx6foYD,James Bay,"['neo mellow', 'pop', 'pop rock']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
4r63FhuTkUYltbVAg5TQnk,DaBaby,"['nc hip hop', 'rap', 'southern hip hop', 'trap music', 'vapor trap']"
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"['reggaeton', 'trap latino']"
1qto4hHid1P71emI6Fd8xi,Aventura,"['bachata', 'latin', 'latin hip hop', 'latin pop', 'tropical']"
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,['k-pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
7rkW85dBwwrJtlHRDkJDAC,NAV,"['canadian hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show', 'viral pop']"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['dance pop', 'edm', 'pop']"
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
56oDRnqbIiwx4mymNEv7dS,Lizzo,"['dance pop', 'electropop', 'escape room', 'minnesota hip hop', 'pop', 'r&b', 'trap queen']"
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,"['rap', 'trap music']"
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,['vapor trap']
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
47MpMsUfWtgyIIBEFOr4FE,Lunay,['reggaeton flow']
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,"['australian pop', 'pop']"
2FXC3k01G6Gw61bmprjgqS,Hozier,"['folk-pop', 'irish singer-songwriter', 'pop']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
0B3N0ZINFWvizfa8bKiz4v,James TW,"['dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop', 'viral pop']"
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,"['garage rock', 'indie pop', 'indie rock', 'modern rock', 'punk blues', 'rock']"
7iK8PXO48WeuP03g8YR51W,Myke Towers,"['reggaeton flow', 'trap latino']"
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']"
5usbqiU7sjvszjWecANDL6,Boogie,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']"
2oX42qP5ineK3hrhBECLmj,Andy Grammer,"['dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']"
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
2auiVi8sUZo17dLy1HwrTU,Solange,"['alternative r&b', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['trap music']
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
2FXC3k01G6Gw61bmprjgqS,Hozier,"['folk-pop', 'irish singer-songwriter', 'pop']"
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'egyptian pop', 'progressive electro house']"
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'egyptian pop', 'progressive electro house']"
